job_id,system,solute,solvent,n_solvent,formal_charge,multiplicity,geometry_sha256,input_sha256,output_path,output_sha256,orca_version,final_energy_Eh,normal_termination,orca_error,qc_status,qc_reasons
EXSOLV02_Q0,dmso_dichloromethane,dmso,dichloromethane,5,0,1,c25507a61338a9eb4b8fa35eabf87e46582ee57a08ca2fdab9b16a89bf806f56,c077502d6c7dd1ec8e2a73a233c58b307424deb770d4290abafdb16cc7040e6c,diagnostics/explicit_solvation_sp/orca/jobs/EXSOLV02_Q0/EXSOLV02_Q0.out,f2f79cc122a22cf7503d4bfc9d45c1999f90f5df448ed6ba812e5ebe69d21e9c,6.1.0,-5351.50397071868,true,false,clean,
EXSOLV02_QP1,dmso_dichloromethane,dmso,dichloromethane,5,1,2,c25507a61338a9eb4b8fa35eabf87e46582ee57a08ca2fdab9b16a89bf806f56,09856db2cc6982d8a3f4dfbb6f464f9cc9dda06c504f6133f5611ba779da942b,diagnostics/explicit_solvation_sp/orca/jobs/EXSOLV02_QP1/EXSOLV02_QP1.out,322d983b6432e23c9c66d0865ab6ae1395a9a9c0af6ff2aecab54a1f33996f72,6.1.0,-5351.23826431189,true,false,clean,
EXSOLV01_Q0,thiophene_acetonitrile,thiophene,acetonitrile,5,0,1,9df46bb2595056ab52aa1e16aa964d34eb490a7df00a4a07831f37fd79c69223,e35983b4cc0446ab44a86171fef98659e0ece0eaebd0435a5a39c8c4a2decaec,diagnostics/explicit_solvation_sp/orca/jobs/EXSOLV01_Q0/EXSOLV01_Q0.out,909f9ebcdc7b7866157cec3a83dd88236ad3725d2e5537e61a414eabb0ef8099,6.1.0,-1216.75928994555,true,false,clean,
EXSOLV01_QP1,thiophene_acetonitrile,thiophene,acetonitrile,5,1,2,9df46bb2595056ab52aa1e16aa964d34eb490a7df00a4a07831f37fd79c69223,87ecdf747e1c8759304b8d17a67145fc3c1cc1dfb501fe257210648ea39bfab3,diagnostics/explicit_solvation_sp/orca/jobs/EXSOLV01_QP1/EXSOLV01_QP1.out,9f275e0bc376fa60480fc1cb093327e41f8740fd650cd3343fa1ab36d8411dad,6.1.0,-1216.42755213281,true,false,clean,
