descriptor,n,slope_fixed,offset_v,MAE_after_offset_v,RMSE_after_offset_v,R2_after_offset,Pearson_r,Spearman_rho
AS_direct,24,1.0,-5.060355834612469,0.33726714244572303,0.42236898161946546,-0.6497130324149991,0.46306851721916054,0.6050858266109153
restrained_triad_min,24,1.0,-4.692510060681898,0.2785907567261169,0.3955454798257143,-0.44682906296294833,-0.08565369644483536,-0.05310122839039697
unconstrained_free_min,24,1.0,-4.719702571892711,0.29920475779162303,0.40024973501105415,-0.4814482263071711,-0.1546591726819541,-0.13101204709434006
unconstrained_lowest_energy_geometry,24,1.0,-4.774134869519556,0.27969190697093654,0.39279410163794276,-0.4267710459818763,-0.18168189761717457,-0.07965184258559546
