descriptor,n,MAE_v,RMSE_v,mean_signed_error_v,Pearson_r,Spearman_rho
AS_direct,24,5.060355834612469,5.077952021192276,5.060355834612469,0.46306851721916054,0.6050858266109153
restrained_triad_min,24,4.692510060681898,4.709151398735379,4.692510060681898,-0.08565369644483536,-0.05310122839039697
unconstrained_free_min,24,4.719702571892711,4.736643560318539,4.719702571892711,-0.15465917268195412,-0.13101204709434006
unconstrained_lowest_energy_geometry,24,4.774134869519556,4.790266272207012,4.774134869519556,-0.18168189761717457,-0.07965184258559546
