array_task	sequence	job_id	job_class	input_path	input_sha256	output_path	nprocs	planning_core_h	workflow_revision	method_id
1	1	R5EOX_A02_RED_CONT1	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED_CONT1/R5EOX_A02_RED_CONT1.inp	b33aa362dfa0d59bf76210cb0393a80683f1e0c5949fa5ec674c1b33a40355c3	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED_CONT1/R5EOX_A02_RED_CONT1.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
1	2	R5EOX_A02_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.inp	8356ade3876283634a407224c0535fefc2c75ff43e8a622e5d85b371f54741a6	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
