array_task	sequence	job_id	job_class	input_path	input_sha256	output_path	nprocs	planning_core_h	workflow_revision	method_id
1	1	R5EOX_A04_RED_CONT1	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED_CONT1/R5EOX_A04_RED_CONT1.inp	b8227c3eed62100cf505896db2765db0a0c8a712186c75eff5405e039ee37e1d	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED_CONT1/R5EOX_A04_RED_CONT1.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_ma-def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1
1	2	R5EOX_A04_OX	optfreq	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.inp	fe14507a9609561acc15e9390549c670f139aaf65a76f3b0969dd3cf02443b9c	diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.out	8	192	jhtvs-ft0806-explicit-r5-eox-v1	T2_wB97X-D3_def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1
