descriptor,n_pairwise,mae_pairwise_v,rmse_pairwise_v,pearson_pairwise_r,spearman_pairwise_rho,sign_agreement_pairwise,n_centered_compositions,pearson_centered_r,spearman_centered_rho
fadel_as_zero,21,0.296666666667,0.438813334867,,,0.0952380952381,24,,
isolated_cation,21,0.778068528893,0.937116847155,-0.552161552164,-0.565514993481,0.142857142857,24,-0.744944801208,-0.711768696269
CAS,21,0.47289143914,0.617080542019,-0.38015599269,-0.376057970733,0.142857142857,24,-0.631368035092,-0.6299762055
CSA,21,0.445123032858,0.601383261089,-0.411100906035,-0.396877789182,0.238095238095,24,-0.598987585948,-0.602567019763
ACS,21,0.436793159381,0.591384111754,-0.368067412744,-0.34287638508,0.190476190476,24,-0.582497560821,-0.53034599068
triad_min,21,0.456334323854,0.607173800763,-0.428115862467,-0.413143272345,0.142857142857,24,-0.639902279071,-0.61387874721
triad_mean,21,0.451207868164,0.601641762862,-0.397747495461,-0.385817260631,0.190476190476,24,-0.61742894444,-0.584729295713
