anion,solvent,epsilon,energy_reduced_opt_eh,energy_reduced_sp_eh,energy_oxidized_sp_eh,ip_as_direct_ev,eox_as_calc_vs_agagcl_v,dq_A,dq_S,oxidized_fragment_as,n_chauhan_cations,mean_eox_exp_v,min_eox_exp_v,max_eox_exp_v,mean_eox_sd_v,same_geometry_pass,status,note
NTF2,PC,65.0,-82.595345678836,-82.59534513497,-82.138943593283,12.419318634109368,7.942318634109368,0.30329320000000004,0.6967068000000003,S,3,2.813333333333333,2.8,2.84,0.14,True,complete,
NTF2,EG,37.0,-74.175043687223,-74.175044063509,-73.743220612384,11.750514718638236,7.273514718638236,0.15321086000000028,0.8467891399999998,S,3,2.3433333333333333,1.95,2.58,0.13666666666666666,True,complete,
NTF2,THF,7.6,-75.416090850923,-75.416090923753,-74.998947886701,11.351040301046453,6.874040301046453,0.1471150200000002,0.8528849700000001,S,3,2.12,2.06,2.2,0.12333333333333334,True,complete,
OTF,PC,65.0,-56.030688927929,-56.030688722725,-55.576205196902,12.367126763608137,7.890126763608137,0.3518457599999999,0.64815424,S,3,2.233333333333333,1.6,2.55,0.11666666666666665,True,complete,
OTF,EG,37.0,-47.616013578272,-47.61601411386,-47.185234060225,11.722122426529337,7.245122426529337,0.15594781999999996,0.8440521699999999,S,3,2.2466666666666666,1.98,2.41,0.12666666666666668,True,complete,
OTF,THF,7.6,-48.852486367127,-48.852487107442,-48.438513553223,11.264794279477808,6.787794279477808,0.16037212,0.8396278899999999,S,3,2.0366666666666666,1.54,2.3,0.13333333333333333,True,complete,
PF6,PC,65.0,-55.435907251009,-55.435906900087,-54.972473099907,12.610676136143972,8.133676136143972,0.004205620000000132,0.99579436,S,2,2.375,2.35,2.4,0.175,True,complete,
PF6,EG,37.0,-47.019554523906,-47.019554546248,-46.584708884291,11.832753264904415,7.355753264904415,0.002524980000000232,0.9974750200000001,S,2,2.52,2.4,2.64,0.195,True,complete,
PF6,THF,7.6,-48.259222477078,-48.259222526943,-47.836698484057,11.49746492918724,7.02046492918724,0.0031913200000003306,0.9968086800000001,S,2,2.22,2.2,2.24,0.155,True,complete,
