anion,solvent,cation_i,cation_j,delta_eox_exp_v,delta_eox_sd_rss_v,delta_fadel_as_zero_ev,sign_match_fadel_as_zero,delta_isolated_cation_ev,sign_match_isolated_cation,delta_CAS_ev,sign_match_CAS,delta_CSA_ev,sign_match_CSA,delta_ACS_ev,sign_match_ACS,delta_triad_min_ev,sign_match_triad_min,delta_triad_mean_ev,sign_match_triad_mean
NTF2,PC,EMIM,BMIM,0.0,0.20518284528683192,0.0,True,0.5495046822490046,False,0.37026970500165746,False,0.2669399656979472,False,0.3075948692052073,False,0.3147534333474855,False,0.3149348466349373,False
NTF2,PC,EMIM,HMIM,-0.040000000000000036,0.19849433241279207,0.0,False,0.7608565559482159,False,0.5544208446787895,False,0.4615496293484629,False,0.4877021475751686,False,0.49890457302461755,False,0.5012242072008082,False
NTF2,PC,BMIM,HMIM,-0.040000000000000036,0.19104973174542803,0.0,False,0.21135187369921127,False,0.18415113967713204,False,0.19460966365051569,False,0.18010727836996132,False,0.18415113967713204,False,0.18628936056587087,False
NTF2,EG,EMIM,BMIM,-0.55,0.18439088914585774,0.0,False,0.5576327608723997,False,0.1347184972373423,False,0.28252338528487186,False,0.07425432169732815,False,0.20402595384318367,False,0.16383206807318196,False
NTF2,EG,EMIM,HMIM,-0.6300000000000001,0.194164878389476,0.0,False,0.7766315605927776,False,0.23895721129296454,False,0.28460771425949005,False,0.16147659158512795,False,0.20611028281780186,False,0.22834717237919477,False
NTF2,EG,BMIM,HMIM,-0.08000000000000007,0.261725046566048,0.0,False,0.21899879972037795,False,0.10423871405562224,False,0.002084328974618188,False,0.0872222698877998,False,0.002084328974618188,False,0.06451510430601282,False
NTF2,THF,EMIM,BMIM,-0.10000000000000009,0.18439088914585774,0.0,False,0.6331402930041552,False,0.08361756141539622,False,0.07874700997680684,False,-0.041982148476860104,True,0.08361756141539622,False,0.04012747430511254,False
NTF2,THF,EMIM,HMIM,0.040000000000000036,0.17804493814764857,0.0,False,0.9244552520346794,True,0.1370324909376084,True,0.09008645479739208,True,0.02756771768891575,True,0.1370324909376084,True,0.08489555447463815,True
NTF2,THF,BMIM,HMIM,0.14000000000000012,0.16278820596099705,0.0,False,0.2913149590305242,True,0.05341492952221216,True,0.011339444820585243,True,0.06954986616577585,True,0.05341492952221216,True,0.044768080169525604,True
OTF,PC,EMIM,HMIM,-0.9499999999999997,0.18110770276274832,0.0,False,0.7608565559482159,False,0.4934663187614383,False,0.5353783347885894,False,0.5364567402838993,False,0.5364567402838993,False,0.5217671312779757,False
OTF,PC,EMIM,BMPYRR,-0.9499999999999997,0.15132745950421556,0.0,False,0.5602634655025653,False,0.3630002465963713,False,0.34834923402990015,False,0.3183828573236678,False,0.3257384223788513,False,0.34324411264997856,False
OTF,PC,HMIM,BMPYRR,0.0,0.23430749027719963,0.0,True,-0.20059309044565055,False,-0.130466072165067,False,-0.18702910075868928,False,-0.21807388296023156,False,-0.21071831790504802,False,-0.17852301862799713,False
OTF,EG,EMIM,HMIM,-0.43000000000000016,0.1676305461424021,0.0,False,0.7766315605927776,False,0.2381722239162798,False,0.07589991898817061,False,0.20819167511288583,False,0.16735573444357676,False,0.17408793933911326,False
OTF,EG,EMIM,BMPYRR,-0.3700000000000001,0.17720045146669353,0.0,False,0.567197750841892,False,0.17835546116101852,False,0.0905703805666267,False,0.1585704389637126,False,0.11773449829440352,False,0.1424987602304526,False
OTF,EG,HMIM,BMPYRR,0.06000000000000005,0.23345235059857505,0.0,False,-0.20943380975088566,False,-0.059816762755261266,False,0.014670461578456084,True,-0.04962123614917324,False,-0.04962123614917324,False,-0.03158917910866066,False
OTF,THF,EMIM,HMIM,-0.7599999999999998,0.19235384061671346,0.0,False,0.9244552520346794,False,0.1231116749411818,False,0.07851344202271804,False,0.04663363584807989,False,0.11782839697893088,False,0.08275291760399028,False
OTF,THF,EMIM,BMPYRR,-0.73,0.1664331697709324,0.0,False,0.6319885182094893,False,0.04123902766829346,False,-0.12675107637968885,True,0.003226765637457163,False,0.03595574970604254,False,-0.027428427691313928,True
OTF,THF,HMIM,BMPYRR,0.029999999999999805,0.22022715545545243,0.0,False,-0.29246673382519006,False,-0.08187264727288834,False,-0.2052645184024069,False,-0.04340687021062273,False,-0.08187264727288834,False,-0.11018134529530421,False
PF6,PC,BMIM,HMIM,0.04999999999999982,0.24839484696748443,0.0,False,0.21135187369921127,True,0.22722513604679762,True,0.17521553486654717,True,0.19340507204526425,True,0.1862293088642346,True,0.1986152476528673,True
PF6,EG,BMIM,HMIM,-0.2400000000000002,0.27586228448267447,0.0,False,0.21899879972037795,False,0.12192189715995205,False,0.058163395416610086,False,0.04440816688246585,False,0.058163395416610086,False,0.07483115315300815,False
PF6,THF,BMIM,HMIM,-0.040000000000000036,0.2193171219946131,0.0,False,0.2913149590305242,False,0.06808151872949075,False,0.0348126609760655,False,0.06302125960126403,False,0.06808151872949075,False,0.05530514643560558,False
