anion,solvent,epsilon,energy_as_reduced_opt_eh,energy_as_reduced_sp_eh,energy_as_oxidized_sp_eh,ip_as_direct_ev,ip_solvent_ev,ip_anion_ev,ip_fadel_2p8_ev,status,note
NTF2,PC,65.0,-82.595345678836,-82.59534513497,-82.138943593283,12.419318634109368,12.697473117316935,12.786524040034998,9.897473117316935,complete,
NTF2,EG,37.0,-74.175043687223,-74.175044063509,-73.743220612384,11.750514718638236,11.935250603467308,12.766059456051341,9.135250603467309,complete,
NTF2,THF,7.6,-75.416090850923,-75.416090923753,-74.998947886701,11.351040301046453,11.688360889511978,12.582629258760106,8.88836088951198,complete,
OTF,PC,65.0,-56.030688927929,-56.030688722725,-55.576205196902,12.367126763608137,12.697473117316935,12.79172904566972,9.897473117316935,complete,
OTF,EG,37.0,-47.616013578272,-47.61601411386,-47.185234060225,11.722122426529337,11.935250603467308,12.765242169276522,9.135250603467309,complete,
OTF,THF,7.6,-48.852486367127,-48.852487107442,-48.438513553223,11.264794279477808,11.688360889511978,12.5278479310291,8.88836088951198,complete,
PF6,PC,65.0,-55.435907251009,-55.435906900087,-54.972473099907,12.610676136143972,12.697473117316935,14.5516050046838,9.897473117316935,complete,
PF6,EG,37.0,-47.019554523906,-47.019554546248,-46.584708884291,11.832753264904415,11.935250603467308,14.522597636278428,9.135250603467309,complete,
PF6,THF,7.6,-48.259222477078,-48.259222526943,-47.836698484057,11.49746492918724,11.688360889511978,14.262147540756816,8.88836088951198,complete,
