anion,solvent,n_cations,experimental_eox_spread_v,ip_cation_only_spread_ev,ip_CAS_spread_ev,ip_CSA_spread_ev,ip_ACS_spread_ev,ip_min_spread_ev,ip_mean_spread_ev,mean_triad_topology_span_ev
NTF2,PC,3,0.040000000000000036,0.7608565559482159,0.5544208446787895,0.4615496293484629,0.4877021475751686,0.49890457302461755,0.5012242072008082,0.04689489432662164
NTF2,EG,3,0.6300000000000001,0.7766315605927776,0.23895721129296454,0.28460771425949005,0.16147659158512795,0.20611028281780186,0.22834717237919477,0.2510913728301964
NTF2,THF,3,0.14000000000000012,0.9244552520346794,0.1370324909376084,0.09008645479739208,0.06954986616577585,0.1370324909376084,0.08489555447463815,0.10960373202028606
OTF,PC,3,0.9499999999999997,0.7608565559482159,0.4934663187614383,0.5353783347885894,0.5364567402838993,0.5364567402838993,0.5217671312779757,0.04514859799980601
OTF,EG,3,0.43000000000000016,0.7766315605927776,0.2381722239162798,0.0905703805666267,0.20819167511288583,0.16735573444357676,0.17408793933911326,0.18495740589474607
OTF,THF,3,0.7599999999999998,0.9244552520346794,0.1231116749411818,0.2052645184024069,0.04663363584807989,0.11782839697893088,0.11018134529530421,0.18061724048333674
PF6,PC,2,0.04999999999999982,0.21135187369921127,0.22722513604679762,0.17521553486654717,0.19340507204526425,0.1862293088642346,0.1986152476528673,0.029386844738059636
PF6,EG,2,0.2400000000000002,0.21899879972037795,0.12192189715995205,0.058163395416610086,0.04440816688246585,0.058163395416610086,0.07483115315300815,0.1953122127988438
PF6,THF,2,0.040000000000000036,0.2913149590305242,0.06808151872949075,0.0348126609760655,0.06302125960126403,0.06808151872949075,0.05530514643560558,0.22277811371251754
