descriptor,n,MAE_v,RMSE_v,mean_signed_error_v,Pearson_r,Spearman_rho
AS_direct,24,5.060355834612469,5.077952021192276,5.060355834612469,0.4630685172191606,0.6050858266109153
CAS,24,4.7736547533319325,4.7893063364954545,4.7736547533319325,-0.05108093025947934,0.1640915008457349
CSA,24,4.734366973147082,4.751072478816857,4.734366973147082,-0.12492065968042114,-0.10881399260327249
ACS,24,4.768031110718325,4.784624525396257,4.768031110718325,-0.1884246212159979,-0.22067477699943658
triad_min,24,4.692510060681898,4.709151398735379,4.692510060681898,-0.08565369644483536,-0.05310122839039697
triad_mean,24,4.75868427906578,4.774523254779478,4.75868427906578,-0.12844781354403195,-0.1684440605498658
