cation,anion,solvent,topology,epsilon,charge_neutral,uhf_neutral,charge_oxidized,uhf_oxidized,energy_neutral_opt_eh,energy_neutral_sp_eh,energy_oxidized_sp_eh,ip_vertical_ev,ip_cation_ev,delta_ip_vs_isolated_cation_ev,q_C_neutral,q_A_neutral,q_S_neutral,q_C_oxidized,q_A_oxidized,q_S_oxidized,dq_C,dq_A,dq_S,oxidized_fragment,topology_preserved,inferred_topology,dmin_CA_ang,dmin_CS_ang,dmin_AS_ang,anchor_CA_ang,anchor_CS_ang,anchor_AS_ang,status,note
EMIM,OTF,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,OTF,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,OTF,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,OTF,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,OTF,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMPYRR,OTF,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,PF6,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,PF6,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
