logical_trajectory_id,system_id,seed_index,state,qc_status,flags,target_bonds_broken,target_bonds_formed,solvent_bonds_broken,solvent_bonds_formed,shell_escape,restraint_activation_fraction,maximum_COM_distance_A,max_excess_over_R0_A,longest_continuous_exceedance_over_R0_plus_2A_ps,final_maximum_solvent_com_distance_A,restraint_activation_samples,maximum_excursion_A,temperature_mean_K,temperature_sd_K,temperature_min_K,temperature_max_K,maximum_force_eV_A,maximum_absolute_chunk_energy_change_eV_ps,expected_samples,completed_samples,gap_mean_eV,gap_sd_eV,gap_skewness,gap_block_se_eV,gap_multimodal,target_density_change_fraction,target_spin_density_fraction,localization_flag
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,clean,clean,0,0,0,0,False,0.008,7.329353577428354,0.07797933902835386,0.0,7.009730724997502,5,0.07797933902835297,307.50165812449836,46.59465081685729,181.96035361792087,455.27652784851466,7.854789880232114,1.256582652538782,100,100,8.075039762513189,0.1665489994943062,0.29354244366204774,,False,0.821720849625015,0.6923525823017405,oxidation_localization_target
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,clean,clean,0,0,0,0,False,0.041999999999999996,7.557667284181149,0.3062930457811488,0.0,6.639771444948261,21,0.3062930457811488,299.9965798129079,43.01268472525581,175.0629313683991,408.89315171751906,6.949682297837085,1.8738293139067537,100,100,5.784538349486102,0.200212791834947,-0.25648010983555014,,False,0.8333229045863304,0.6847660296843904,oxidation_localization_target
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,clean,clean,0,0,0,0,False,0.072,14.765518706333935,0.3802902848339347,0.0,13.56857582628891,46,0.38029028483393645,304.53549678958717,28.064955714924032,206.80509772208023,380.40765710800144,7.933318510880022,3.041720981571416,100,100,6.6648014137247085,0.11871702004367225,-0.4531666572169762,,False,0.8827668003737946,0.740793912470637,oxidation_localization_target
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,clean,clean,0,0,0,0,False,0.118,14.792182718822467,0.406954297322466,0.0,14.445651357721667,75,0.406954297322466,301.6612345972315,33.48183495151081,193.54897532489113,390.88502412113314,6.735758637793441,2.047110734936723,100,100,5.963674964614984,0.12439615999769388,-0.14361382935778835,,False,0.8879120690846878,0.7564359817996262,oxidation_localization_target
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,clean,clean,0,0,0,0,False,0.068,7.052337096993448,0.5469857324934475,0.0,5.187026112513177,55,0.6285896634885777,315.8868594710494,44.065260961148965,191.44564731727635,445.1493935950754,6.905207916842694,1.2960681741205917,100,100,11.288964744039404,0.12931061877337352,-0.3558314573592282,,False,0.12653117902477504,0.14727387197296107,oxidation_localization_solvent_competing
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,clean,clean,0,0,0,0,False,0.06999999999999999,6.800399152859682,0.2950477883596818,0.0,6.515659861483002,38,0.2950477883596818,310.2414969759709,50.97207769828288,175.24395069636822,444.4361600370155,8.8150372535509,1.1202932816486282,100,100,5.047889227126507,0.1787074989508327,0.2412954027332627,,False,0.04078784883790211,0.06026548938744571,oxidation_localization_solvent_competing
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,clean,clean,0,0,0,0,False,0.05600000000000001,6.3467202175028685,0.40012794790286854,0.0,5.771429002079625,66,0.5708373633011039,307.2040875216856,38.153272676733636,185.53853188462213,427.48191419118035,7.256882340821997,1.812626697254018,100,100,7.568441106565733,0.21887711386152633,0.3554569610954105,,False,0.5251873879331229,0.5576420138411934,oxidation_localization_target
val-ani-jva002-55b28367__seed-0__oxidized,val-ani-jva002-55b28367,0,oxidized,clean,clean,0,0,0,0,False,0.158,6.306947286278985,0.3603550166789846,0.0,5.8094819923641525,81,0.3603550166789846,314.4141938009404,37.1268217391492,169.18279836119478,411.2010378486656,5.826353955315867,2.7126559488096973,100,100,4.798724123665015,0.2680754383914159,-0.08650312838315524,,False,0.6869491859348354,0.5437629575943156,oxidation_localization_target
