system_id,seed_index,lower_samples,oxidized_samples,mu_lower_eV,mu_oxidized_eV,lower_sd_eV,oxidized_sd_eV
val-ani-jva002-55b28367,0,100,100,7.568441106565733,4.798724123665015,0.21887711386152633,0.2680754383914159
val-mon-jvm001-86771f02,0,100,100,8.075039762513189,5.784538349486102,0.1665489994943062,0.200212791834947
val-mon-jvm010-d5a2fe91,0,100,100,6.6648014137247085,5.963674964614984,0.11871702004367225,0.12439615999769388
val-sol-jvs001-d9400988,0,100,100,11.288964744039404,5.047889227126507,0.12931061877337352,0.1787074989508327
