job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_payload_sha256,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
OF011,optfreq,D089_QP2_M1,S002,runs/orca/optfreq/OF011/OF011.inp,f1b438c25a1a985eea7ae0dcd200f1e06385f63dd75598ae64263c71ad4caa02,surrogate:sigma_preopt:D089:S002:q2:m1,521bab11430e32eca8aa1e744d5bf46d2aabb5845c443d45d97a0f6c11055c34,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF012,optfreq,M077_Q0_M1,S002,runs/orca/optfreq/OF012/OF012.inp,cf0758591bb139a0202c00e310971d9a5914ff8e5321e89bc88c1bd3297e53d1,tier1:redox:M077:S002:q0:m1,e48c0cd00c5bad78f6be5258ee258143389cc58ae5372df37e0819ab2ce0c7e9,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF013,optfreq,M077_QP1_M2,S002,runs/orca/optfreq/OF013/OF013.inp,761f7351800765d4fe63945ff8ccdd58c6ae78c7af4adcad3e09549b9715fb3c,tier1:redox:M077:S002:q1:m2,183562f173b55cc5ee38348e76527f24ad85a1548d1feb7ed001af060f78ea70,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF014,optfreq,M089_Q0_M1,S002,runs/orca/optfreq/OF014/OF014.inp,18d22fc535fc827456ba34168a2d898b2ce600c5d143da0231dfb1211fc60ed5,tier1:redox:M089:S002:q0:m1,3f906a6da11ef343808ad062c6d282e2f300507e23fa9bbe891c81122998622d,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF015,optfreq,M089_QP1_M2,S002,runs/orca/optfreq/OF015/OF015.inp,fef0a6d2b005c4814a67064b25e20b3172dd6ae3570ab810189844064e3b4975,tier1:redox:M089:S002:q1:m2,122cac4d53ebc1344b27a8daf693a8e086e3420e5fb5129f8168aef7bda2493d,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF016,optfreq,S002_Q0_M1,S002,runs/orca/optfreq/OF016/OF016.inp,b77178ff5d3fbacc46322e5b05f255f3c723c75bb9c364d1728f5b8820d4b339,tier1:redox:S002:S002:q0:m1,7db8876d824400a79dd93ce95b0b46e5a10b7a266ed3889747a122ff6ba63bcb,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF017,optfreq,S002_QP1_M2,S002,runs/orca/optfreq/OF017/OF017.inp,84c9a719cac9e20330adbfbffd32d040c26b9ce55e48e716080367016ceba394,tier1:redox:S002:S002:q1:m2,198d96e41c26ba3494d7514b533eda313bc7c74916464145bfb01d9df61afbf2,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF018,optfreq,D022_QP2_M1,S003,runs/orca/optfreq/OF018/OF018.inp,c1bbb22356aea0deca30e5aa4155484146b98647b9e19abca52c08ed4e58b3d8,surrogate:sigma_preopt:D022:S003:q2:m1,3334df37b9842128f5a5d20ca225b76f3fef9638296a93dd6d3fe55257e518e3,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF019,optfreq,D068_QP2_M1,S003,runs/orca/optfreq/OF019/OF019.inp,ae94d60683e542fcf2cb8d7a879c1f7921111b058b86e8cc1854afcd7497f310,surrogate:sigma_preopt:D068:S003:q2:m1,4315bbe1fb7689c5e32edbbadb284635f3f7e1bc830522cf3432ce1cce06bd89,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF020,optfreq,M022_Q0_M1,S003,runs/orca/optfreq/OF020/OF020.inp,719a9587c3495ed5b54a2cf4be544380e38174d30c48810d2b89f26e9d8bba37,tier1:redox:M022:S003:q0:m1,f4ae2cb41fd3067e0915d2b83accce45cf98ba2f9e0a317322a236de6333762e,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
