state_id,solvent_id,geometry_hash,E_base_MACE_eV,feature_cache_key,checkpoint_sha256,feature_schema_revision
A002_Q0_M2,S019,a05172d4f3a75b25d8f0a03a40dd05585e1e3e965af72263f2b10bd8e88acd1c,-11547.2397353603,9453218ca096abc4b56333f578a4ae48f64294086f99e81fc2c72aca5639c995,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S020,37d329225d49186470c36b3bd8873158fb4ee58324cbddd13642e81926604b2c,-11547.2396799131,c9488f88a22aa2385cae904fb22b2a2b852261308935efcf1dc28bbb76b1ab00,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S021,285d0bcff4f9ecf69b0f3045b481c8b69e4727f496940035e84c0024ac6c2bca,-11547.239582461,7c1ff07a57ce0669b536bfaf07a091334f251cbd790477e0e1909d2a40f9f2bd,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S022,4214c3fd76c233a0b56790c538fbb3b62186bba63415b1a7b2bdc00159177d54,-11547.2397549193,069663a00fe0b671aa985591d3f22fdf4a88e389068b10bf2e122eda7552e21f,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S023,7b5ffd1d7da115dca527f2b3da3592466e1cf98794c080738d9689a11824306d,-11547.2394860477,ae27be0d37c048541e9d6bb3e66e911b322d7ccdbf55e6efdd4e9ecc508b7327,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S024,5be29d26d3b19da23428d2a14eebaf6312165bb98ec1aa6ac3e0954c52a5b137,-11547.2393749867,f849812b6afbfa283b95e50e50de0125edf9bca0f68f50c275320c637bdc26d7,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_Q0_M2,S025,ae54ad406cf8aaaea3fd11a5f13e2498ee9064e961c25890f6148f8bb3b306c1,-11547.2396471676,e25c818444d8c2971c73911ef63e016ed1a384bea5a291d957fe0a11d4e5bd0f,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_QM1_M1,S001,7a17f45bb14124753ff5516d497203fbc01bb3fa236829911d8ecce7fe4e1385,-11554.8678378649,7ac665474cc536b45234880ecd14593658d50ba4a163cc3fc3ac73f8bc2380c8,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_QM1_M1,S002,96c7fbfdda447db028d962eca69319e7356a7ea0c1025a0b02935b5292c0ca07,-11554.8699618555,661f1014dcb0c51a3807bd59ed908e99ca04b5f289ff6fea51742137956eeb4c,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
A002_QM1_M1,S003,2034efeed7215aa124560fe81fd5046bec1ce8c49e0eb3ec817195e5e0f867be,-11554.8675158939,7c6c3b7f2519ebd0045665c2383c679ce39a82887c900668b2d7c6865c40db8a,9f65f8dc6ddaff1d631e299cb531376a7da5e68d1bef04f34a2d5073d5ef114b,polar1l_rotation_invariants_v1
