record_id,submission_id,scheduler_job_id,array_task,slots,wallclock_s,core_h,exit_status,failed,logical_jobs,completed_logical_jobs,runner_status,qacct_path,qacct_sha256,collected_at_utc
423374.13,20260807-echo-sp-v2,423374,13,8,175,0.38888889,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.14,20260807-echo-sp-v2,423374,14,8,167,0.37111111,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.15,20260807-echo-sp-v2,423374,15,8,954,2.12000000,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.16,20260807-echo-sp-v2,423374,16,8,179,0.39777778,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.17,20260807-echo-sp-v2,423374,17,8,301,0.66888889,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.18,20260807-echo-sp-v2,423374,18,8,152,0.33777778,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.19,20260807-echo-sp-v2,423374,19,8,224,0.49777778,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.2,20260807-echo-sp-v2,423374,2,8,182,0.40444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.20,20260807-echo-sp-v2,423374,20,8,169,0.37555556,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.21,20260807-echo-sp-v2,423374,21,8,10,0.02222222,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.22,20260807-echo-sp-v2,423374,22,8,11,0.02444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.23,20260807-echo-sp-v2,423374,23,8,10,0.02222222,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.24,20260807-echo-sp-v2,423374,24,8,11,0.02444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.25,20260807-echo-sp-v2,423374,25,8,9,0.02000000,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.3,20260807-echo-sp-v2,423374,3,8,200,0.44444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.4,20260807-echo-sp-v2,423374,4,8,177,0.39333333,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.5,20260807-echo-sp-v2,423374,5,8,168,0.37333333,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.6,20260807-echo-sp-v2,423374,6,8,171,0.38000000,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.7,20260807-echo-sp-v2,423374,7,8,765,1.70000000,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.8,20260807-echo-sp-v2,423374,8,8,200,0.44444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423374.9,20260807-echo-sp-v2,423374,9,8,177,0.39333333,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v2/qacct.txt,9a2bb4f52da4a6dd811bd86ec1929330e70f9a72c6f0cda7496f5965e0e09650,2026-08-07T19:13:23.945950+00:00
423389.1,20260807-echo-sp-v3,423389,1,8,150,0.33333333,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v3/qacct.txt,045d680d5335145acc784ae0c0bc0081ddbff646f3404ada7ca6e28bdf536e0a,2026-08-07T19:20:02.810562+00:00
423389.2,20260807-echo-sp-v3,423389,2,8,163,0.36222222,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-sp-v3/qacct.txt,045d680d5335145acc784ae0c0bc0081ddbff646f3404ada7ca6e28bdf536e0a,2026-08-07T19:20:02.810562+00:00
423357.aggregate,20260807-sigma-preopt-v1,423357,aggregate,1,7498.00000800,2.08277778,0,0,122,122,complete,runs/geometry/qacct_423357.txt,8262099fee2e535ce24a40d4d76f45a00fbb9826a1a85ff74a452122742f22d2,2026-08-07T13:24:17-05:00
423452.1,20260808-calibration-base-features-retry-v1,423452,1,1,23,0.00638889,0,0,1,1,complete,runs/hpc/submissions/20260808-calibration-base-features-retry-v1/qacct.txt,00b7a1412faf5efee0cb3948add5430b8550c269b85dcb2f2d96ea68bbf6abfd,2026-08-08T07:01:54.188477+00:00
423450.1,20260808-calibration-base-features-v1,423450,1,1,1193,0.33138889,1,0,1,0,failed,runs/hpc/submissions/20260808-calibration-base-features-v1/qacct.txt,916fe0b297be2901450d2f930d667c1a88a1cfc45d4415e036128ce8140ad642,2026-08-08T06:56:30.895128+00:00
423453.1,20260808-fullspace-base-features-v1,423453,1,8,15769,35.04222222,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-base-features-v1/qacct.txt,7d483156eaa5f5d0c3ca51b79bd05054df97e28f837f9411f08063b4dd197de2,2026-08-08T15:33:35.810877+00:00
423451.1,20260808-fullspace-sigma-preopt-v1,423451,1,1,10,0.00277778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.10,20260808-fullspace-sigma-preopt-v1,423451,10,1,10,0.00277778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.100,20260808-fullspace-sigma-preopt-v1,423451,100,1,34,0.00944444,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1000,20260808-fullspace-sigma-preopt-v1,423451,1000,1,23,0.00638889,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1001,20260808-fullspace-sigma-preopt-v1,423451,1001,1,54,0.01500000,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1002,20260808-fullspace-sigma-preopt-v1,423451,1002,1,54,0.01500000,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1003,20260808-fullspace-sigma-preopt-v1,423451,1003,1,55,0.01527778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1004,20260808-fullspace-sigma-preopt-v1,423451,1004,1,55,0.01527778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
423451.1005,20260808-fullspace-sigma-preopt-v1,423451,1005,1,55,0.01527778,0,0,1,1,complete,runs/hpc/submissions/20260808-fullspace-sigma-preopt-v1/qacct.txt,a553da389d3883465b6d4d9ac4f8c068ec20c2649ce022f5e6ce22d2348aac46,2026-08-08T11:00:08.488969+00:00
