system_id,class,species_id,species_name,canonical_smiles,solvent_id,solvent_name,solvent_canonical_smiles,canonical_key,lower_charge,lower_spin,oxidized_charge,oxidized_spin,shell_seed_ids,conformer_seed,source_records,experimental_value_V_vs_AgAgCl,selection_reason
cal-mon-cm03-4582dbd5,monomer,CM03,3-methylthiophene,Cc1ccsc1,Acetonitrile,Acetonitrile,CC#N,monomer|Cc1ccsc1|CC#N,0,1,1,2,6644797;1408492;5908974;8735066;2770992,4181731,calib_data.csv:6,1.85,included_objective_scalar
cal-mon-cm13-a490c727,monomer,CM13,CPDT,c1cc2c(s1)-c1sccc1C2,Acetonitrile,Acetonitrile,CC#N,monomer|c1cc2c(s1)-c1sccc1C2|CC#N,0,1,1,2,2730553;2337484;2846888;2710084;8053003,7190184,calib_data.csv:17,1.08,included_objective_scalar
cal-mon-cm08-758d5939,monomer,CM08,Selenophene,c1cc[se]c1,Acetonitrile,Acetonitrile,CC#N,monomer|c1cc[se]c1|CC#N,0,1,1,2,3250917;4084448;5365301;1173831;1276767,1190012,calib_data.csv:11,1.65,included_objective_scalar
cal-mon-cm11-1790835d,monomer,CM11,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,Acetonitrile,Acetonitrile,CC#N,monomer|c1ccc2c(c1)[nH]c1ccccc12|CC#N,0,1,1,2,5404922;4532236;4516008;3983961;2982369,5620730,calib_data.csv:15,1.1,included_objective_scalar
cal-mon-cm05-4858ead8,monomer,CM05,"2,2′-bithiophene",c1csc(-c2cccs2)c1,Acetonitrile,Acetonitrile,CC#N,monomer|c1csc(-c2cccs2)c1|CC#N,0,1,1,2,6718141;4975033;4557492;5877971;2814410,1430455,calib_data.csv:8,1.35,included_objective_scalar
