file_stem,property,method,n,slope,intercept,r_squared,mae,rmse,unit
monomer_eox_calibrated_tier1,Monomer Eox,Calibrated Tier-1,9,0.6136254142843598,0.31122511685872595,0.7043014393564218,0.20271730333333332,0.3029264685119101,V
monomer_eox_dft,Monomer Eox,Tier-2 DFT,9,0.9675086670019803,-0.17677217298453682,0.7089241563922696,0.31267051333333334,0.36940307005935824,V
solvent_eox_calibrated_tier1,Solvent Eox,Calibrated Tier-1,7,0.19770852499999986,2.4514251749000007,0.1505335289783265,0.9234047285714284,1.0929850413260223,V
solvent_eox_dft,Solvent Eox,Tier-2 DFT,7,0.4239897271116365,1.7945620984689898,0.28666856289222553,0.7572119228571427,1.0379670331181465,V
anion_eox_calibrated_tier1,Anion Eox,Calibrated Tier-1,16,0.02309612286986821,3.215057254176606,8.662124192437837e-05,0.45179949187500007,0.594819292977199,V
anion_eox_dft,Anion Eox,Tier-2 DFT,16,0.06457543398182249,2.80183394005184,0.007120427804618856,0.18222347187500001,0.2412284150345524,V
optical_gap_calibrated_tier1,Optical gap,Calibrated Tier-1,10,1.3517679926493351,-0.953714526381764,0.9478532471623746,0.21281554100000002,0.2730035314935631,eV
optical_gap_dft,Optical gap,Tier-2 DFT,10,1.3055315687575924,-0.7075344595856377,0.9805242006219929,0.2991004000000001,0.32838799357711007,eV
