state_id,parent_id,entity_type,species_name,smiles_or_generator,canonical_smiles,family,target_object_definition,state_label,formal_charge,multiplicity,reference_geometry_protocol,reference_geometry_key,source_id
M008_QP1_M2,M008,monomer,3-Methoxythiophene,COc1ccsc1,COc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M008:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M009_Q0_M1,M009,monomer,3-Ethoxythiophene,CCOc1ccsc1,CCOc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M009:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M009_QP1_M2,M009,monomer,3-Ethoxythiophene,CCOc1ccsc1,CCOc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M009:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M010_Q0_M1,M010,monomer,3-Fluorothiophene,Fc1ccsc1,Fc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M010:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M010_QP1_M2,M010,monomer,3-Fluorothiophene,Fc1ccsc1,Fc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M010:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M011_Q0_M1,M011,monomer,3-Chlorothiophene,Clc1ccsc1,Clc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M011:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M011_QP1_M2,M011,monomer,3-Chlorothiophene,Clc1ccsc1,Clc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M011:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M012_Q0_M1,M012,monomer,3-Bromothiophene,Brc1ccsc1,Brc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M012:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M012_QP1_M2,M012,monomer,3-Bromothiophene,Brc1ccsc1,Brc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M012:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M013_Q0_M1,M013,monomer,Thiophene-3-carbonitrile,N#Cc1ccsc1,N#Cc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M013:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M013_QP1_M2,M013,monomer,Thiophene-3-carbonitrile,N#Cc1ccsc1,N#Cc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M013:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M014_Q0_M1,M014,monomer,Methyl thiophene-3-carboxylate,COC(=O)c1ccsc1,COC(=O)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M014:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M014_QP1_M2,M014,monomer,Methyl thiophene-3-carboxylate,COC(=O)c1ccsc1,COC(=O)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M014:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M015_Q0_M1,M015,monomer,3-Acetylthiophene,CC(=O)c1ccsc1,CC(=O)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M015:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M015_QP1_M2,M015,monomer,3-Acetylthiophene,CC(=O)c1ccsc1,CC(=O)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M015:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M016_Q0_M1,M016,monomer,"3,4-Dimethylthiophene",Cc1cscc1C,Cc1cscc1C,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M016:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M016_QP1_M2,M016,monomer,"3,4-Dimethylthiophene",Cc1cscc1C,Cc1cscc1C,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M016:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M017_Q0_M1,M017,monomer,"3,4-Diethylthiophene",CCc1cscc1CC,CCc1cscc1CC,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M017:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M017_QP1_M2,M017,monomer,"3,4-Diethylthiophene",CCc1cscc1CC,CCc1cscc1CC,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M017:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M018_Q0_M1,M018,monomer,"3,4-Difluorothiophene",Fc1cscc1F,Fc1cscc1F,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M018:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M018_QP1_M2,M018,monomer,"3,4-Difluorothiophene",Fc1cscc1F,Fc1cscc1F,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M018:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M019_Q0_M1,M019,monomer,"3,4-Dichlorothiophene",Clc1cscc1Cl,Clc1cscc1Cl,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M019:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M019_QP1_M2,M019,monomer,"3,4-Dichlorothiophene",Clc1cscc1Cl,Clc1cscc1Cl,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M019:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M020_Q0_M1,M020,monomer,"3,4-Dimethoxythiophene",COc1cscc1OC,COc1cscc1OC,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M020:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M020_QP1_M2,M020,monomer,"3,4-Dimethoxythiophene",COc1cscc1OC,COc1cscc1OC,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M020:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M021_Q0_M1,M021,monomer,3-(Trifluoromethyl)thiophene,FC(F)(F)c1ccsc1,FC(F)(F)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M021:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M021_QP1_M2,M021,monomer,3-(Trifluoromethyl)thiophene,FC(F)(F)c1ccsc1,FC(F)(F)c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M021:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M022_Q0_M1,M022,monomer,"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,c1scc2c1OCCO2,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M022_QP1_M2,M022,monomer,"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,c1scc2c1OCCO2,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M023_Q0_M1,M023,monomer,"3,4-Propylenedioxythiophene (ProDOT)",c1scc2c1OCCCO2,c1scc2c1OCCCO2,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M023:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M023_QP1_M2,M023,monomer,"3,4-Propylenedioxythiophene (ProDOT)",c1scc2c1OCCCO2,c1scc2c1OCCCO2,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M023:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M024_Q0_M1,M024,monomer,"2,2′-Bithiophene",c1csc(-c2cccs2)c1,c1csc(-c2cccs2)c1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M024:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M024_QP1_M2,M024,monomer,"2,2′-Bithiophene",c1csc(-c2cccs2)c1,c1csc(-c2cccs2)c1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M024:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M025_Q0_M1,M025,monomer,"2,2′:5′,2″-Terthiophene",c1csc(-c2ccc(-c3cccs3)s2)c1,c1csc(-c2ccc(-c3cccs3)s2)c1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M025:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M025_QP1_M2,M025,monomer,"2,2′:5′,2″-Terthiophene",c1csc(-c2ccc(-c3cccs3)s2)c1,c1csc(-c2ccc(-c3cccs3)s2)c1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M025:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M026_Q0_M1,M026,monomer,Pyrrole,c1cc[nH]c1,c1cc[nH]c1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M026:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M026_QP1_M2,M026,monomer,Pyrrole,c1cc[nH]c1,c1cc[nH]c1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M026:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M027_Q0_M1,M027,monomer,N-Methylpyrrole,Cn1cccc1,Cn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M027:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M027_QP1_M2,M027,monomer,N-Methylpyrrole,Cn1cccc1,Cn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M027:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M028_Q0_M1,M028,monomer,N-Ethylpyrrole,CCn1cccc1,CCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M028:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M028_QP1_M2,M028,monomer,N-Ethylpyrrole,CCn1cccc1,CCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M028:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M029_Q0_M1,M029,monomer,N-Propylpyrrole,CCCn1cccc1,CCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M029:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M029_QP1_M2,M029,monomer,N-Propylpyrrole,CCCn1cccc1,CCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M029:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M030_Q0_M1,M030,monomer,N-Hexylpyrrole,CCCCCCn1cccc1,CCCCCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M030:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M030_QP1_M2,M030,monomer,N-Hexylpyrrole,CCCCCCn1cccc1,CCCCCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M030:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M031_Q0_M1,M031,monomer,N-Octylpyrrole,CCCCCCCCn1cccc1,CCCCCCCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M031:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M031_QP1_M2,M031,monomer,N-Octylpyrrole,CCCCCCCCn1cccc1,CCCCCCCCn1cccc1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M031:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M032_Q0_M1,M032,monomer,3-Methylpyrrole,Cc1cc[nH]c1,Cc1cc[nH]c1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M032:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M032_QP1_M2,M032,monomer,3-Methylpyrrole,Cc1cc[nH]c1,Cc1cc[nH]c1,Pyrroles,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M032:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M033_Q0_M1,M033,monomer,3-Ethylpyrrole,CCc1cc[nH]c1,CCc1cc[nH]c1,Pyrroles,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M033:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
