parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M078,"9,9-Dimethylfluorene",CC1(C)c2ccccc2-c2ccccc21,Fluorenes,5,12,I,CC1(C)c2cc(I)ccc2-c2ccc(I)cc21,CC1(C)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,5fe9c90e1815d6934611ebf8359072af3f7ebc0d8f5f86fad6650e76a6af5310
M079,"9,9-Diethylfluorene",CCC1(CC)c2ccccc2-c2ccccc21,Fluorenes,7,14,I,CCC1(CC)c2cc(I)ccc2-c2ccc(I)cc21,CCC1(CC)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,4be2ab96796e379ead2b3720518bc23cefd16f096a24304713b7feb1b9c1b16e
M080,"9,9-Dipropylfluorene",CCCC1(CCC)c2ccccc2-c2ccccc21,Fluorenes,9,16,I,CCCC1(CCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCC1(CCC)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,a12ab0b4983dfe7dbfc3e20fb3987b2addc072259156e8c8f8a90b4d4dd553ce
M081,"9,9-Dibutylfluorene",CCCCC1(CCCC)c2ccccc2-c2ccccc21,Fluorenes,11,18,I,CCCCC1(CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC1(CCCC)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,e7451daa106c92927ff0da2efab54d06470fdd4a79fe9037a6dfb99ff58d6561
M082,"9,9-Dihexylfluorene",CCCCCCC1(CCCCCC)c2ccccc2-c2ccccc21,Fluorenes,15,22,I,CCCCCCC1(CCCCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCCCC1(CCCCCC)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,ef4c0913542599d0a12160d00e1bee21a326219f04fb97dc1a448975f0707593
M083,"9,9-Dioctylfluorene",CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21,Fluorenes,19,26,I,CCCCCCCCC1(CCCCCCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCCCCCC1(CCCCCCCC)c2c[cH:1]ccc2-c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,4b8d69b231f0304765866d1e31b76de0f9fa20ac293fcf37fda45154c29dab34
M084,"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT)",c1csc(-c2ccc3nsnc3c2-c2cccs2)c1,Donor–Acceptor units,1,16,I,Ic1ccc(-c2ccc3nsnc3c2-c2ccc(I)s2)s1,c1[cH:1]sc(-c2ccc3nsnc3c2-c2cc[cH:2]s2)c1,copy_i.site_b--copy_i+1.site_a,C-C,c75948733616b2615fdc2fdeafa161715e0c95a6dfed455d094281b5f59ce3dd
M085,"4,7-Bis(3-hexylthiophen-2-yl)-2,1,3-benzothiadiazole",CCCCCCc1csc(-c2c(-c3sccc3CCCCCC)ccc3nsnc23)c1,Donor–Acceptor units,7,14,I,CCCCCCc1cc(-c2c(-c3sc(I)cc3CCCCCC)ccc3nsnc23)sc1I,CCCCCCc1[cH:1]sc(-c2c(-c3s[cH:2]cc3CCCCCC)ccc3nsnc23)c1,copy_i.site_b--copy_i+1.site_a,C-C,ed655912d4e707c4a7d822c122dfe6e9d42107480283bce6de21b644bef2e61a
M086,"Thieno[3,4-b]pyrazine",c1cnc2cscc2n1,Donor–Acceptor units,4,6,I,Ic1sc(I)c2nccnc12,c1cnc2[cH:1]s[cH:2]c2n1,copy_i.site_b--copy_i+1.site_a,C-C,41d66668297bc9bff89153b7eac79b820373e8b1e12b129d45c2d3e172a18db3
M087,"2,3-Dimethylthieno[3,4-b]pyrazine",Cc1nc2cscc2nc1C,Donor–Acceptor units,4,6,I,Cc1nc2c(I)sc(I)c2nc1C,Cc1nc2[cH:1]s[cH:2]c2nc1C,copy_i.site_b--copy_i+1.site_a,C-C,47b4671b5557267cc3818969105ad58f75966767395472bc5ebb2a1c70f6d8a9
M088,"2,3-Dihexylthieno[3,4-b]pyrazine",CCCCCCc1nc2cscc2nc1CCCCCC,Donor–Acceptor units,9,11,I,CCCCCCc1nc2c(I)sc(I)c2nc1CCCCCC,CCCCCCc1nc2[cH:1]s[cH:2]c2nc1CCCCCC,copy_i.site_b--copy_i+1.site_a,C-C,fcc2537b0a9e0ae41a474f0085b37e78d70226a09b27ba30422fe7bcce20b85b
M089,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",CN1C(=O)C2=C(c3cccs3)N(C)C(=O)C2=C1c1cccs1,Donor–Acceptor units,9,20,I,CN1C(=O)C2=C(c3ccc(I)s3)N(C)C(=O)C2=C1c1ccc(I)s1,CN1C(=O)C2=C(c3cc[cH:1]s3)N(C)C(=O)C2=C1c1cc[cH:2]s1,copy_i.site_b--copy_i+1.site_a,C-C,0b7942993a01166ad51b027f9dab33d7597d7502d159f8cacb6849d846af59b5
M090,"3,6-Bis(thiophen-2-yl)-2,5-dioctyl-DPP (TDPP-Oct)",CCCCCCCCN1C(=O)C2=C(c3cccs3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,Donor–Acceptor units,16,34,I,CCCCCCCCN1C(=O)C2=C(c3ccc(I)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(I)s1,CCCCCCCCN1C(=O)C2=C(c3cc[cH:1]s3)N(CCCCCCCC)C(=O)C2=C1c1cc[cH:2]s1,copy_i.site_b--copy_i+1.site_a,C-C,c3031964e6932ce14115964703033022cbf116b3a51197947132aab6b3ce4cf2
M091,"N,N′-Dimethylisoindigo",CN1C(=O)/C(=C2/C(=O)N(C)c3ccccc32)c2ccccc21,Donor–Acceptor units,12,19,I,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(I)ccc32)c2ccc(I)cc21,CN1C(=O)/C(=C2/C(=O)N(C)c3c[cH:1]ccc32)c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,134b5140a63b80695e5844d75ebc83ec7e5709190d3d70e8a4e13b38f8ea64c7
M092,"N,N′-Dioctylisoindigo",CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3ccccc32)c2ccccc21,Donor–Acceptor units,26,33,I,CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3cc(I)ccc32)c2ccc(I)cc21,CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3c[cH:1]ccc32)c2cc[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,8b32296be8c232e1f38de6da44efa9c5c0f51884c405944d427cd1eaddaa3457
M093,"4,9-bis(thiophen-2-yl)-[1,2,5]thiadiazolo[3,4-g]quinoxaline (TTDQ)",c1csc(-c2c3nccnc3c(-c3cccs3)c3nsnc23)c1,Donor–Acceptor units,1,15,I,Ic1ccc(-c2c3nccnc3c(-c3ccc(I)s3)c3nsnc23)s1,c1[cH:1]sc(-c2c3nccnc3c(-c3cc[cH:2]s3)c3nsnc23)c1,copy_i.site_b--copy_i+1.site_a,C-C,89da3c9cac1c1e98d2c5ade648ac0c5379bd80c4c52a1806d679a08fc0118a9a
M094,"Cyclopenta[2,1-b:3,4-b′]dithiophene (CPDT)",c1cc2c(s1)-c1sccc1C2,Fused-ring systems,0,7,I,Ic1cc2c(s1)-c1sc(I)cc1C2,[cH:1]1cc2c(s1)-c1s[cH:2]cc1C2,copy_i.site_b--copy_i+1.site_a,C-C,b1c3305b9d325edf4c2009a9f57f0a85835d943a5a288e18e6cd0737b8c5c95a
M095,"4,4-Dimethyl-CPDT",CC1(C)c2ccsc2-c2sccc21,Fused-ring systems,5,10,I,CC1(C)c2cc(I)sc2-c2sc(I)cc21,CC1(C)c2c[cH:1]sc2-c2s[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,56d07bcd0bd2b8b98b96f1ad711c4e6b8c89830b0b8a43252b9ddcf962c0914f
M096,"4,4-Dihexyl-CPDT",CCCCCCC1(CCCCCC)c2ccsc2-c2sccc21,Fused-ring systems,15,20,I,CCCCCCC1(CCCCCC)c2cc(I)sc2-c2sc(I)cc21,CCCCCCC1(CCCCCC)c2c[cH:1]sc2-c2s[cH:2]cc21,copy_i.site_b--copy_i+1.site_a,C-C,3b410f416ef6d808de2debc8656d228255844133795b6ef71d381afe7922722f
M097,"Dithieno[3,2-b:2′,3′-d]pyrrole (DTP)",c1cc2[nH]c3ccsc3c2s1,Fused-ring systems,0,6,I,Ic1cc2[nH]c3cc(I)sc3c2s1,[cH:1]1cc2[nH]c3c[cH:2]sc3c2s1,copy_i.site_b--copy_i+1.site_a,C-C,6c7386bdd360a8fc2f13d5211116870fad40058312f7965efba2dd20d2cd82ea
M098,"N-Octyl-dithieno[3,2-b:2′,3′-d]pyrrole",CCCCCCCCn1c2ccsc2c2sccc21,Fused-ring systems,11,16,I,CCCCCCCCn1c2cc(I)sc2c2sc(I)cc21,CCCCCCCCn1c2c[cH:1]sc2c2s[cH:2]cc12,copy_i.site_b--copy_i+1.site_a,C-C,722d562948b76143f4bc07ecd4439e46d5fd41ec9a36d19ce48557f98ef6903f
M099,"Indaceno[1,2-b:5,6-b′]dithiophene (IDT)",c1cc2c(s1)-c1cc3c(cc1C2)-c1sccc1C3,Fused-ring systems,0,14,I,Ic1cc2c(s1)-c1cc3c(cc1C2)-c1sc(I)cc1C3,[cH:1]1cc2c(s1)-c1cc3c(cc1C2)-c1s[cH:2]cc1C3,copy_i.site_b--copy_i+1.site_a,C-C,c645c6843574538e9389c546c7a366493927d87bcf8000f708c2a30aa4868d1b
M100,"Acenaphtho[1,2-c]pyrrole",c1cc2c3c(cccc3c1)-c1c[nH]cc1-2,Fused-ring systems,11,13,I,Ic1[nH]c(I)c2c1-c1cccc3cccc-2c13,c1cc2c3c(cccc3c1)-c1[cH:1][nH][cH:2]c1-2,copy_i.site_b--copy_i+1.site_a,C-C,731a987087f29dbdfc56aef164facb300f4a40e159bbba82a9c0887fe1ce8e3f
