parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M022,"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,Thiophenes,0,2,I,Ic1sc(I)c2c1OCCO2,[cH:1]1s[cH:2]c2c1OCCO2,copy_i.site_b--copy_i+1.site_a,C-C,c52a7955c993523ae0b74d691655b76a0a83b8f91fef3ddce29d735a8839c10d
M023,"3,4-Propylenedioxythiophene (ProDOT)",c1scc2c1OCCCO2,Thiophenes,0,2,I,Ic1sc(I)c2c1OCCCO2,[cH:1]1s[cH:2]c2c1OCCCO2,copy_i.site_b--copy_i+1.site_a,C-C,b6f6bf7a19b500681013464c963abb3273a4d126c2a152c44dcf977323be9ad7
M024,"2,2′-Bithiophene",c1csc(-c2cccs2)c1,Thiophenes,1,7,I,Ic1ccc(-c2ccc(I)s2)s1,c1[cH:1]sc(-c2cc[cH:2]s2)c1,copy_i.site_b--copy_i+1.site_a,C-C,ca64859a23594e53e6d2ec99181f1e0726ddfafcd140178ecbb0eef148ba356e
M025,"2,2′:5′,2″-Terthiophene",c1csc(-c2ccc(-c3cccs3)s2)c1,Thiophenes,1,11,I,Ic1ccc(-c2ccc(-c3ccc(I)s3)s2)s1,c1[cH:1]sc(-c2ccc(-c3cc[cH:2]s3)s2)c1,copy_i.site_b--copy_i+1.site_a,C-C,64b6a48a157c6fdc7bfdeb23cbb4950dc19c631fcb58f76102fa82abaa7722f6
M026,Pyrrole,c1cc[nH]c1,Pyrroles,2,4,I,Ic1ccc(I)[nH]1,c1c[cH:1][nH][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,093b7eec0fcab9ca3924493750f2ef0f9d2392c35b69b071d68425d25fc935b8
M027,N-Methylpyrrole,Cn1cccc1,Pyrroles,2,5,I,Cn1c(I)ccc1I,Cn1[cH:1]cc[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,b3c6fbf1321aa0eacd14eb33042f9651e6ab357e99f4a89d4c330d2556696848
M028,N-Ethylpyrrole,CCn1cccc1,Pyrroles,3,6,I,CCn1c(I)ccc1I,CCn1[cH:1]cc[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,107b0849a5630d7862962cf341df70ab75132ef3669ec47ccd8ac73f1cfc1d32
M029,N-Propylpyrrole,CCCn1cccc1,Pyrroles,4,7,I,CCCn1c(I)ccc1I,CCCn1[cH:1]cc[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,c5f7710b2b5a3e8377473b0beb8336379656aa9a9697c031a2dab4df7ddf838a
M030,N-Hexylpyrrole,CCCCCCn1cccc1,Pyrroles,7,10,I,CCCCCCn1c(I)ccc1I,CCCCCCn1[cH:1]cc[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,e477dbd8e5121d8621c395961f6088261e986bb94985fe7252b27fc21bdcb4f4
M031,N-Octylpyrrole,CCCCCCCCn1cccc1,Pyrroles,9,12,I,CCCCCCCCn1c(I)ccc1I,CCCCCCCCn1[cH:1]cc[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,2cdf02e34c251c2a94273efc2c0d82420b0697b0dc76521c6786d06d82be6f4e
M032,3-Methylpyrrole,Cc1cc[nH]c1,Pyrroles,3,5,I,Cc1cc(I)[nH]c1I,Cc1c[cH:1][nH][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,3f4b8a2541a4fc4306e3e2c6feafcc93a48d1870b473ba8bd4d2108513319149
M033,3-Ethylpyrrole,CCc1cc[nH]c1,Pyrroles,4,6,I,CCc1cc(I)[nH]c1I,CCc1c[cH:1][nH][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,db2cd3f647cea63c3b67c93292cac5c76728e25a8519ad9a5ec2e92c75303367
M034,"3,4-Dimethylpyrrole",Cc1c[nH]cc1C,Pyrroles,2,4,I,Cc1c(I)[nH]c(I)c1C,Cc1[cH:1][nH][cH:2]c1C,copy_i.site_b--copy_i+1.site_a,C-C,3e7de079829733fe1b4850b5355281f797e100a719876857ef20dbf48d4b766a
