input,smiles,family
"N,N′-Dimethylisoindigo hexamer (n=6)",CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4ccc5c(c4)N(C)C(=O)/C5=C4/C(=O)N(C)c5cc(-c6ccc7c(c6)N(C)C(=O)/C7=C6/C(=O)N(C)c7cc(-c8ccc9c(c8)N(C)C(=O)/C9=C8/C(=O)N(C)c9cc(-c%10ccc%11c(c%10)N(C)C(=O)/C%11=C%10/C(=O)N(C)c%11cc(-c%12ccc%13c(c%12)N(C)C(=O)/C%13=C%12/C(=O)N(C)c%13ccccc%13%12)ccc%11%10)ccc98)ccc76)ccc54)ccc32)c2ccccc21,Donor–Acceptor units
"N,N′-Dioctylisoindigo hexamer (n=6)",CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3cc(-c4ccc5c(c4)N(CCCCCCCC)C(=O)/C5=C4/C(=O)N(CCCCCCCC)c5cc(-c6ccc7c(c6)N(CCCCCCCC)C(=O)/C7=C6/C(=O)N(CCCCCCCC)c7cc(-c8ccc9c(c8)N(CCCCCCCC)C(=O)/C9=C8/C(=O)N(CCCCCCCC)c9cc(-c%10ccc%11c(c%10)N(CCCCCCCC)C(=O)/C%11=C%10/C(=O)N(CCCCCCCC)c%11cc(-c%12ccc%13c(c%12)N(CCCCCCCC)C(=O)/C%13=C%12/C(=O)N(CCCCCCCC)c%13ccccc%13%12)ccc%11%10)ccc98)ccc76)ccc54)ccc32)c2ccccc21,Donor–Acceptor units
"4,9-bis(thiophen-2-yl)-[1,2,5]thiadiazolo[3,4-g]quinoxaline (TTDQ) hexamer (n=6)",c1csc(-c2c3nccnc3c(-c3ccc(-c4ccc(-c5c6nccnc6c(-c6ccc(-c7ccc(-c8c9nccnc9c(-c9ccc(-c%10ccc(-c%11c%12nccnc%12c(-c%12ccc(-c%13ccc(-c%14c%15nccnc%15c(-c%15ccc(-c%16ccc(-c%17c%18nccnc%18c(-c%18cccs%18)c%18nsnc%17%18)s%16)s%15)c%15nsnc%14%15)s%13)s%12)c%12nsnc%11%12)s%10)s9)c9nsnc89)s7)s6)c6nsnc56)s4)s3)c3nsnc23)c1,Donor–Acceptor units
"Cyclopenta[2,1-b:3,4-b′]dithiophene (CPDT) hexamer (n=6)",c1cc2c(s1)-c1sc(-c3cc4c(s3)-c3sc(-c5cc6c(s5)-c5sc(-c7cc8c(s7)-c7sc(-c9cc%10c(s9)-c9sc(-c%11cc%12c(s%11)-c%11sccc%11C%12)cc9C%10)cc7C8)cc5C6)cc3C4)cc1C2,Fused-ring systems
"4,4-Dimethyl-CPDT hexamer (n=6)",CC1(C)c2ccsc2-c2sc(-c3cc4c(s3)-c3sc(-c5cc6c(s5)-c5sc(-c7cc8c(s7)-c7sc(-c9cc%10c(s9)-c9sc(-c%11cc%12c(s%11)-c%11sccc%11C%12(C)C)cc9C%10(C)C)cc7C8(C)C)cc5C6(C)C)cc3C4(C)C)cc21,Fused-ring systems
"4,4-Dihexyl-CPDT hexamer (n=6)",CCCCCCC1(CCCCCC)c2ccsc2-c2sc(-c3cc4c(s3)-c3sc(-c5cc6c(s5)-c5sc(-c7cc8c(s7)-c7sc(-c9cc%10c(s9)-c9sc(-c%11cc%12c(s%11)-c%11sccc%11C%12(CCCCCC)CCCCCC)cc9C%10(CCCCCC)CCCCCC)cc7C8(CCCCCC)CCCCCC)cc5C6(CCCCCC)CCCCCC)cc3C4(CCCCCC)CCCCCC)cc21,Fused-ring systems
"Dithieno[3,2-b:2′,3′-d]pyrrole (DTP) hexamer (n=6)",c1cc2[nH]c3cc(-c4cc5[nH]c6cc(-c7cc8[nH]c9cc(-c%10cc%11[nH]c%12cc(-c%13cc%14[nH]c%15cc(-c%16cc%17[nH]c%18ccsc%18c%17s%16)sc%15c%14s%13)sc%12c%11s%10)sc9c8s7)sc6c5s4)sc3c2s1,Fused-ring systems
"N-Octyl-dithieno[3,2-b:2′,3′-d]pyrrole hexamer (n=6)",CCCCCCCCn1c2ccsc2c2sc(-c3cc4c(s3)c3sc(-c5cc6c(s5)c5sc(-c7cc8c(s7)c7sc(-c9cc%10c(s9)c9sc(-c%11cc%12c(s%11)c%11sccc%11n%12CCCCCCCC)cc9n%10CCCCCCCC)cc7n8CCCCCCCC)cc5n6CCCCCCCC)cc3n4CCCCCCCC)cc21,Fused-ring systems
"Indaceno[1,2-b:5,6-b′]dithiophene (IDT) hexamer (n=6)",c1cc2c(s1)-c1cc3c(cc1C2)-c1sc(-c2cc4c(s2)-c2cc5c(cc2C4)-c2sc(-c4cc6c(s4)-c4cc7c(cc4C6)-c4sc(-c6cc8c(s6)-c6cc9c(cc6C8)-c6sc(-c8cc%10c(s8)-c8cc%11c(cc8C%10)-c8sc(-c%10cc%12c(s%10)-c%10cc%13c(cc%10C%12)-c%10sccc%10C%13)cc8C%11)cc6C9)cc4C7)cc2C5)cc1C3,Fused-ring systems
"Acenaphtho[1,2-c]pyrrole hexamer (n=6)",c1cc2c3c(cccc3c1)-c1c-2c[nH]c1-c1[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]cc6c5-c5cccc7cccc-6c57)c5c4-c4cccc6cccc-5c46)c4c3-c3cccc5cccc-4c35)c3c2-c2cccc4cccc-3c24)c2c1-c1cccc3cccc-2c13,Fused-ring systems
