input,smiles,family
N-Ethylpyrrole hexamer (n=6),CCn1cccc1-c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccn5CC)n4CC)n3CC)n2CC)n1CC,Pyrroles
N-Propylpyrrole hexamer (n=6),CCCn1cccc1-c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccn5CCC)n4CCC)n3CCC)n2CCC)n1CCC,Pyrroles
N-Hexylpyrrole hexamer (n=6),CCCCCCn1cccc1-c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccn5CCCCCC)n4CCCCCC)n3CCCCCC)n2CCCCCC)n1CCCCCC,Pyrroles
N-Octylpyrrole hexamer (n=6),CCCCCCCCn1cccc1-c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5cccn5CCCCCCCC)n4CCCCCCCC)n3CCCCCCCC)n2CCCCCCCC)n1CCCCCCCC,Pyrroles
3-Methylpyrrole hexamer (n=6),Cc1c[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]c(-c6[nH]ccc6C)cc5C)cc4C)cc3C)cc2C)c1,Pyrroles
3-Ethylpyrrole hexamer (n=6),CCc1c[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]c(-c6[nH]ccc6CC)cc5CC)cc4CC)cc3CC)cc2CC)c1,Pyrroles
"3,4-Dimethylpyrrole hexamer (n=6)",Cc1c[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]c(-c6[nH]cc(C)c6C)c(C)c5C)c(C)c4C)c(C)c3C)c(C)c2C)c1C,Pyrroles
"3,4-Diethylpyrrole hexamer (n=6)",CCc1c[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]c(-c6[nH]cc(CC)c6CC)c(CC)c5CC)c(CC)c4CC)c(CC)c3CC)c(CC)c2CC)c1CC,Pyrroles
"3,4-Ethylenedioxypyrrole (EDOP) hexamer (n=6)",c1[nH]c(-c2[nH]c(-c3[nH]c(-c4[nH]c(-c5[nH]c(-c6[nH]cc7c6OCCO7)c6c5OCCO6)c5c4OCCO5)c4c3OCCO4)c3c2OCCO3)c2c1OCCO2,Pyrroles
"N-Methyl-3,4-ethylenedioxypyrrole (N-Me-EDOP) hexamer (n=6)",Cn1cc2c(c1-c1c3c(c(-c4c5c(c(-c6c7c(c(-c8c9c(c(-c%10c%11c(cn%10C)OCCO%11)n8C)OCCO9)n6C)OCCO7)n4C)OCCO5)n1C)OCCO3)OCCO2,Pyrroles
Furan hexamer (n=6),c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccco6)o5)o4)o3)o2)c1,Furans
3-Methylfuran hexamer (n=6),Cc1coc(-c2oc(-c3oc(-c4oc(-c5oc(-c6occc6C)cc5C)cc4C)cc3C)cc2C)c1,Furans
