input,smiles,family
"2,3-Dimethylthieno[3,4-b]pyrazine",Cc1nc2cscc2nc1C,Donor–Acceptor units
"2,3-Dihexylthieno[3,4-b]pyrazine",CCCCCCc1nc2cscc2nc1CCCCCC,Donor–Acceptor units
"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",CN1C(=O)C2=C(c3cccs3)N(C)C(=O)C2=C1c1cccs1,Donor–Acceptor units
"3,6-Bis(thiophen-2-yl)-2,5-dioctyl-DPP (TDPP-Oct)",CCCCCCCCN1C(=O)C2=C(c3cccs3)N(CCCCCCCC)C(=O)C2=C1c1cccs1,Donor–Acceptor units
"N,N′-Dimethylisoindigo",CN1C(=O)/C(=C2/C(=O)N(C)c3ccccc32)c2ccccc21,Donor–Acceptor units
"N,N′-Dioctylisoindigo",CCCCCCCCN1C(=O)/C(=C2/C(=O)N(CCCCCCCC)c3ccccc32)c2ccccc21,Donor–Acceptor units
"4,9-bis(thiophen-2-yl)-[1,2,5]thiadiazolo[3,4-g]quinoxaline (TTDQ)",c1csc(-c2c3nccnc3c(-c3cccs3)c3nsnc23)c1,Donor–Acceptor units
"Cyclopenta[2,1-b:3,4-b′]dithiophene (CPDT)",c1cc2c(s1)-c1sccc1C2,Fused-ring systems
"4,4-Dimethyl-CPDT",CC1(C)c2ccsc2-c2sccc21,Fused-ring systems
"4,4-Dihexyl-CPDT",CCCCCCC1(CCCCCC)c2ccsc2-c2sccc21,Fused-ring systems
"Dithieno[3,2-b:2′,3′-d]pyrrole (DTP)",c1cc2[nH]c3ccsc3c2s1,Fused-ring systems
"N-Octyl-dithieno[3,2-b:2′,3′-d]pyrrole",CCCCCCCCn1c2ccsc2c2sccc21,Fused-ring systems
"Indaceno[1,2-b:5,6-b′]dithiophene (IDT)",c1cc2c(s1)-c1cc3c(cc1C2)-c1sccc1C3,Fused-ring systems
"Acenaphtho[1,2-c]pyrrole",c1cc2c3c(cccc3c1)-c1c[nH]cc1-2,Fused-ring systems
