parent_id,sigma_state_id,reaction_id,monomer_name,family,source_monomer_smiles,source_hexamer_smiles,rdkit_atom_index_base,site_a_atom_index_0based,site_b_atom_index_0based,site_a_atom_map_1based,site_b_atom_map_1based,site_a_element,site_b_element,site_a_total_h_in_monomer,site_b_total_h_in_monomer,site_a_is_aromatic,site_b_is_aromatic,site_a_canonical_rank,site_b_canonical_rank,site_pair_symmetry_equivalent,link_atom_pair,repeat_link_rule,inter_repeat_bond_type,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,all_atom_mapped_smiles,hexamer_substructure_match_count,hexamer_exact_cover_count,hexamer_inter_repeat_bond_count,reconstructed_hexamer_matches_source,monomer_heavy_atom_count,monomer_formula,neutral_dimer_smiles,neutral_dimer_heavy_atom_count,neutral_dimer_formula,neutral_dimer_formula_is_2M_minus_H2,junction_copy1_atom_index_0based,junction_copy2_atom_index_0based,sigma_formula_expected,sigma_product_charge,sigma_product_multiplicity,sigma_geometry_semantics,topology_source,topology_status,topology_sha256
M011,D011_QP2_M1,RXN_SIG_M011,3-Chlorothiophene,Thiophenes,Clc1ccsc1,Clc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6Cl)cc5Cl)cc4Cl)cc3Cl)cc2Cl)c1,0,3,5,4,6,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Clc1cc(I)sc1I,Clc1c[cH:1]s[cH:2]1,[Cl:1][c:2]1[cH:3][cH:4][s:5][cH:6]1,6,1,5,True,6,C4H3ClS,Clc1csc(-c2sccc2Cl)c1,12,C8H4Cl2S2,true,5,9,C8H6Cl2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,e1b8e97b6ce44005cb541570a167b67efa54e8fa28517ba1936c319a80c1f16c
M012,D012_QP2_M1,RXN_SIG_M012,3-Bromothiophene,Thiophenes,Brc1ccsc1,Brc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6Br)cc5Br)cc4Br)cc3Br)cc2Br)c1,0,3,5,4,6,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Brc1cc(I)sc1I,Brc1c[cH:1]s[cH:2]1,[Br:1][c:2]1[cH:3][cH:4][s:5][cH:6]1,6,1,5,True,6,C4H3BrS,Brc1csc(-c2sccc2Br)c1,12,C8H4Br2S2,true,5,9,C8H6Br2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,fdaccf9753efc50af83816e4c6dce5b158a321fbbd8481ddcf08d78398361fb3
M013,D013_QP2_M1,RXN_SIG_M013,Thiophene-3-carbonitrile,Thiophenes,N#Cc1ccsc1,N#Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C#N)cc5C#N)cc4C#N)cc3C#N)cc2C#N)c1,0,4,6,5,7,C,C,1,1,True,True,2,4,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,N#Cc1cc(I)sc1I,N#Cc1c[cH:1]s[cH:2]1,[N:1]#[C:2][c:3]1[cH:4][cH:5][s:6][cH:7]1,6,1,5,True,7,C5H3NS,N#Cc1csc(-c2sccc2C#N)c1,14,C10H4N2S2,true,6,11,C10H6N2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,aba75d05b0b16795f13c20ca0890e901f7745ddee84cde2f874dd50b9e9da0ef
M014,D014_QP2_M1,RXN_SIG_M014,Methyl thiophene-3-carboxylate,Thiophenes,COC(=O)c1ccsc1,COC(=O)c1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C(=O)OC)cc5C(=O)OC)cc4C(=O)OC)cc3C(=O)OC)cc2C(=O)OC)c1,0,6,8,7,9,C,C,1,1,True,True,2,4,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,COC(=O)c1cc(I)sc1I,COC(=O)c1c[cH:1]s[cH:2]1,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][s:8][cH:9]1,6,1,5,True,9,C6H6O2S,COC(=O)c1csc(-c2sccc2C(=O)OC)c1,18,C12H10O4S2,true,8,15,C12H12O4S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,9608ced37fc90f310cf30ca02ff0efbccad0e47dadc26b43f69f7559b7746f37
M015,D015_QP2_M1,RXN_SIG_M015,3-Acetylthiophene,Thiophenes,CC(=O)c1ccsc1,CC(=O)c1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C(C)=O)cc5C(C)=O)cc4C(C)=O)cc3C(C)=O)cc2C(C)=O)c1,0,5,7,6,8,C,C,1,1,True,True,2,4,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CC(=O)c1cc(I)sc1I,CC(=O)c1c[cH:1]s[cH:2]1,[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][s:7][cH:8]1,6,1,5,True,8,C6H6OS,CC(=O)c1csc(-c2sccc2C(C)=O)c1,16,C12H10O2S2,true,7,13,C12H12O2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,31834638965906e5bebfcbf6ff0c10db344eb7dfb72ec369037f72d77c816612
M016,D016_QP2_M1,RXN_SIG_M016,"3,4-Dimethylthiophene",Thiophenes,Cc1cscc1C,Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(C)c6C)c(C)c5C)c(C)c4C)c(C)c3C)c(C)c2C)c1C,0,2,4,3,5,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Cc1c(I)sc(I)c1C,Cc1[cH:1]s[cH:2]c1C,[CH3:1][c:2]1[cH:3][s:4][cH:5][c:6]1[CH3:7],6,1,5,True,7,C6H8S,Cc1csc(-c2scc(C)c2C)c1C,14,C12H14S2,true,4,9,C12H16S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,fc2d0fddd152059b91fc3098c7345b4038e336a16e96b28e03c13acc87a7eec3
M017,D017_QP2_M1,RXN_SIG_M017,"3,4-Diethylthiophene",Thiophenes,CCc1cscc1CC,CCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(CC)c6CC)c(CC)c5CC)c(CC)c4CC)c(CC)c3CC)c(CC)c2CC)c1CC,0,3,5,4,6,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCc1c(I)sc(I)c1CC,CCc1[cH:1]s[cH:2]c1CC,[CH3:1][CH2:2][c:3]1[cH:4][s:5][cH:6][c:7]1[CH2:8][CH3:9],6,1,5,True,9,C8H12S,CCc1csc(-c2scc(CC)c2CC)c1CC,18,C16H22S2,true,5,12,C16H24S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,46328fc0c47bc7061eef30c78122b78c4e1ddc09603a05ed20ed99b7cf728772
M018,D018_QP2_M1,RXN_SIG_M018,"3,4-Difluorothiophene",Thiophenes,Fc1cscc1F,Fc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(F)c6F)c(F)c5F)c(F)c4F)c(F)c3F)c(F)c2F)c1F,0,2,4,3,5,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Fc1c(I)sc(I)c1F,Fc1[cH:1]s[cH:2]c1F,[F:1][c:2]1[cH:3][s:4][cH:5][c:6]1[F:7],6,1,5,True,7,C4H2F2S,Fc1csc(-c2scc(F)c2F)c1F,14,C8H2F4S2,true,4,9,C8H4F4S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,624d712d4881867da0915fc3ba03719d9dcd0b04de41bc138384fc17bb2b5b16
M019,D019_QP2_M1,RXN_SIG_M019,"3,4-Dichlorothiophene",Thiophenes,Clc1cscc1Cl,Clc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(Cl)c6Cl)c(Cl)c5Cl)c(Cl)c4Cl)c(Cl)c3Cl)c(Cl)c2Cl)c1Cl,0,2,4,3,5,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Clc1c(I)sc(I)c1Cl,Clc1[cH:1]s[cH:2]c1Cl,[Cl:1][c:2]1[cH:3][s:4][cH:5][c:6]1[Cl:7],6,1,5,True,7,C4H2Cl2S,Clc1csc(-c2scc(Cl)c2Cl)c1Cl,14,C8H2Cl4S2,true,4,9,C8H4Cl4S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,aec9cf400910f1e82986eff208cf8deef35513aa7027a15a0212f9b216b84eb2
M020,D020_QP2_M1,RXN_SIG_M020,"3,4-Dimethoxythiophene",Thiophenes,COc1cscc1OC,COc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(OC)c6OC)c(OC)c5OC)c(OC)c4OC)c(OC)c3OC)c(OC)c2OC)c1OC,0,3,5,4,6,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,COc1c(I)sc(I)c1OC,COc1[cH:1]s[cH:2]c1OC,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][c:7]1[O:8][CH3:9],6,1,5,True,9,C6H8O2S,COc1csc(-c2scc(OC)c2OC)c1OC,18,C12H14O4S2,true,5,12,C12H16O4S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,b0452832dfa984c601422735aa1eac53f26073af92045c24180ffbded10f80fb
M021,D021_QP2_M1,RXN_SIG_M021,3-(Trifluoromethyl)thiophene,Thiophenes,FC(F)(F)c1ccsc1,FC(F)(F)c1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C(F)(F)F)cc5C(F)(F)F)cc4C(F)(F)F)cc3C(F)(F)F)cc2C(F)(F)F)c1,0,6,8,7,9,C,C,1,1,True,True,3,5,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,FC(F)(F)c1cc(I)sc1I,FC(F)(F)c1c[cH:1]s[cH:2]1,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][s:8][cH:9]1,6,1,5,True,9,C5H3F3S,FC(F)(F)c1csc(-c2sccc2C(F)(F)F)c1,18,C10H4F6S2,true,8,15,C10H6F6S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,56e0a1e22bf99a393299b0582f0a7ccd98216bee350207a45f20c55143436862
M022,D022_QP2_M1,RXN_SIG_M022,"3,4-Ethylenedioxythiophene (EDOT)",Thiophenes,c1scc2c1OCCO2,c1sc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc7c6OCCO7)c6c5OCCO6)c5c4OCCO5)c4c3OCCO4)c3c2OCCO3)c2c1OCCO2,0,0,2,1,3,C,C,1,1,True,True,0,0,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Ic1sc(I)c2c1OCCO2,[cH:1]1s[cH:2]c2c1OCCO2,[cH:1]1[s:2][cH:3][c:4]2[c:5]1[O:6][CH2:7][CH2:8][O:9]2,6,1,5,True,9,C6H6O2S,c1sc(-c2scc3c2OCCO3)c2c1OCCO2,18,C12H10O4S2,true,2,9,C12H12O4S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,c52a7955c993523ae0b74d691655b76a0a83b8f91fef3ddce29d735a8839c10d
